ID,Message_Text,Type,Platform,Has_Link,Has_Urgency_Keywords,Sender,Message_Length,Num_Links,Suspicious_Keyword_Count
1,"Hey, can we catch up this weekend?",Legit,Email,0,0,Colleague,34,0,0
2,तात्कालिक कार्य आवश्यक! आफ्नो payment सत्यापित गर्नुहोस्: http://fakebank.com/login,Phishing,SMS,1,1,Unknown,83,1,1
3,हामी यस सप्ताहन्त भेट्न सक्छौं?,Legit,Email,1,0,Service,31,0,0
4,Immediate action required! Verify your खाता now: http://claimprize.com/win,Phishing,WhatsApp,1,1,Unknown,74,1,3
5,स्मरण: तपाईंको भेटघाट तपाईंको प्याकेज मा तय गरिएको छ।,Legit,Email,1,0,Friend,53,0,0
6,Immediate action required! Verify your password now: http://fakebank.com/login,Phishing,SMS,1,1,Service,78,1,2
7,तपाईंलाई $खाता को भुक्तानी प्राप्त भयो। स्वीकार गर्न क्लिक गर्नुहोस्: http://fakebank.com/login,Phishing,WhatsApp,1,1,Unknown,95,1,1
8,तपाईंको payment सदस्यता सकिँदैछ। अब नवीकरण गर्नुहोस्: http://bit.ly/secure123,Phishing,WhatsApp,1,1,Unknown,77,1,0
9,Your package will arrive on भोलि. Track here: http://trackingservice.com/track,Legit,Email,1,0,Friend,78,1,0
10,Congratulations! You won a password. Claim here: http://fakebank.com/login,Phishing,SMS,1,1,Unknown,74,1,2
11,तपाईंको प्याकेज your package मा आइपुग्नेछ। ट्र्याक गर्न यहाँ क्लिक गर्नुहोस्: http://trackingservice.com/track,Legit,WhatsApp,1,0,Colleague,110,1,0
12,Happy Birthday! Wishing you a great year ahead.,Legit,WhatsApp,1,0,Service,47,0,0
13,बधाई छ! तपाईंले iPhone जित्नुभयो। यहाँ दाबी गर्नुहोस्: http://fakebank.com/login,Phishing,WhatsApp,1,1,Service,80,1,1
14,तपाईंको account सदस्यता सकिँदैछ। अब नवीकरण गर्नुहोस्: http://bit.ly/secure123,Phishing,WhatsApp,1,1,Service,77,1,1
15,Congratulations! You won a payment. Claim here: http://bit.ly/secure123,Phishing,SMS,1,1,Service,71,1,1
16,"Hey, can we catch up this weekend?",Legit,Email,0,0,Colleague,34,0,0
17,Reminder: Your appointment is scheduled for 10 AM,Legit,SMS,0,0,Colleague,49,0,0
18,तात्कालिक कार्य आवश्यक! आफ्नो password सत्यापित गर्नुहोस्: http://claimprize.com/win,Phishing,WhatsApp,1,1,Bank,84,1,4
19,Your package will arrive on next week. Track here: ,Legit,WhatsApp,0,0,Friend,51,0,0
20,Your package will arrive on Monday. Track here: ,Legit,Email,0,0,Friend,48,0,0
21,तपाईंको भुक्तानी सदस्यता सकिँदैछ। अब नवीकरण गर्नुहोस्: http://claimprize.com/win,Phishing,SMS,1,1,Bank,80,1,3
22,Immediate action required! Verify your पासवर्ड now: http://bit.ly/secure123,Phishing,SMS,1,1,Bank,75,1,1
23,"Hey, can we catch up this weekend?",Legit,SMS,1,0,Service,34,0,0
24,Your account has been compromised. Click पासवर्ड to secure it.,Phishing,WhatsApp,1,1,Service,62,0,2
25,हामी यस सप्ताहन्त भेट्न सक्छौं?,Legit,Email,1,0,Service,31,0,0
26,जन्मदिनको शुभकामना! तपाईंलाई उत्कृष्ट वर्षको कामना।,Legit,Email,1,0,Friend,51,0,0
27,Happy Birthday! Wishing you a great year ahead.,Legit,SMS,0,0,Colleague,47,0,0
28,Meeting at your package tomorrow. Don't be late.,Legit,Email,0,0,Friend,48,0,0
29,भोलि Monday मा बैठक छ। ढिला नगर्नुहोस्।,Legit,SMS,0,0,Service,39,0,0
30,Immediate action required! Verify your पासवर्ड now: http://bit.ly/secure123,Phishing,WhatsApp,1,1,Bank,75,1,1
31,Your package will arrive on 10 AM. Track here: ,Legit,WhatsApp,0,0,Colleague,47,0,0
32,हामी यस सप्ताहन्त भेट्न सक्छौं?,Legit,WhatsApp,1,0,Colleague,31,0,0
33,Your account subscription is expiring. Renew now: http://fakebank.com/login,Phishing,Email,1,1,Service,75,1,1
34,Your iPhone subscription is expiring. Renew now: http://fakebank.com/login,Phishing,SMS,1,1,Service,74,1,0
35,"Hey, can we catch up this weekend?",Legit,Email,1,0,Service,34,0,0
36,Congratulations! You won a iPhone. Claim here: http://fakebank.com/login,Phishing,SMS,1,1,Service,72,1,1
37,भोलि भोलि मा बैठक छ। ढिला नगर्नुहोस्।,Legit,SMS,0,0,Service,37,0,0
38,जन्मदिनको शुभकामना! तपाईंलाई उत्कृष्ट वर्षको कामना।,Legit,WhatsApp,1,0,Friend,51,0,0
39,भोलि Monday मा बैठक छ। ढिला नगर्नुहोस्।,Legit,SMS,1,0,Service,39,0,0
40,"Hey, can we catch up this weekend?",Legit,SMS,1,0,Service,34,0,0
